NAME,MASS,BINDING ENERGY,SOLID FRACTION,MONO FRACTION,VOLCANO FRACTION,ENTHALPY
HCO2+,45,0,0,0,0,0
HCS,45,0,0,0,0,0
HCS+,45,0,0,0,0,0
SIOH+,45,0,0,0,0,0
NH2CHO,45,0,0,0,0,0
#NH2CHO,45,6300,0,0,0,0
HCOO,45,0,0,0,0,0
#HCOO,45,4000,0,0,0,0
#H2CS,46,4400,0,0,0,28.3
#NO2,46,2400,0,0,0,8.8
#NS,46,1900,0,0.1,0.5,63.8
#H2SIO,46,4400,0,0,0.5,-999
H2CS,46,0,0,0,0,0
H2CS+,46,0,0,0,0,0
H2SIO,46,0,0,0,0,0
NO2,46,0,0,0,0,0
NS,46,0,0,0,0,0
NS+,46,0,0,0,0,0
HCOOH,46,0,0,0,0,0
#HCOOH,46,5570,0,0,0,0
H2CSH++,47,0,0,0,0,0
HNS+,47,0,0,0,0,0
#SO,48,2800,0,0,0,1.2
SO,48,0,0,0,0,0
SO+,48,0,0,0,0,0
C4H,49,0,0,0,0,0
HSO+,49,0,0,0,0,0
#C4H,49,3737,0,0,0,191.11
C3N,50,0,0,0,0,0
#HC3N,51,4580,0,0,0.5,84
HC3N,51,0,0,0,0,0
C2N2+,52,0,0,0,0,0
NCCN,52,0,0,0,0,0
SIC2,52,0,0,0,0,0
SIC2+,52,0,0,0,0,0
#NCCN,52,3000,0,0,0,73.46
#SIC2,52,4300,0,0,0,149.38
#SIS,60,3800,0,0.7,0.667,0
#OCS,60,2400,0,0,0.5,-34
OCS,60,0,0,0,0,0
OCS+,60,0,0,0,0,0
SIS,60,0,0,0,0,0
SIS+,60,0,0,0,0,0
OCSH+,61,0,0,0,0,0
SISH+,61,0,0,0,0,0
C4N,62,0,0,0,0,0
C4N+,62,0,0,0,0,0
#C4N,62,4000,0,0,0,189
#SIC3,64,5100,0,0,0,-999
SIC3+,64,0,0,0,0,0
SIC3,64,0,0,0,0,0
#SO2,64,3400,0,0,0.5,-70.3
S2,64,0,0,0,0,0
S2+,64,0,0,0,0,0
SO2+,64,0,0,0,0,0
SO2,64,0,0,0,0,0
HS2,65,0,0,0,0,0
HS2+,65,0,0,0,0,0
HOSO+,65,0,0,0,0,0
H2S2+,66,0,0,0,0,0
H2S2,66,0,0,0,0,0
#H2S2,66,3100,0,0.1,0.5,4
#SI,28,11600,0,0,0,11
#SIH,29,11950,0,0,0,11
#SIH2,30,12300,0,0,0,11
#SIH3,31,12650,0,0,0,11
! BELOW ARE EXCITED SPECIES
#H*,1,1,650.0,0,0,0,0
#H2*,2,2,440.0,0,0,0,0
#C*,12,1,10000.0,170.0,0,0,0
#CH*,13,2,925.0,142.0,0,0
#CH2*,14,3,1400.0,93.2,0,0,0
#N*,14,1,720.0,112.5,0,0,0
#NH*,15,2,2600.0,85.7,0,0,0
#CH3*,15,4,1600.0,35.6,0,0,0
#CH4*,16,5,960.0,-15.9,0,0,0
#NH2*,16,3,3200.0,46.2,0,0,0
#O*,16,1,1600.0,59.0,0,0,0
#OH*,17,2,4600.0,8.8,0,0,0
#NH3*,17,4,5500.0,-9.3,0,0,0
#H2O*,18,3,5600.0,-57.1,0,0,0
#CO*,28,2,1300.0,-27.2,0,0,0
#HCO*,29,3,2400.0,10.0,0,0,0
#NO*,30,2,1600.0,21.69,0,0,0
#H2CO*,30,4,4500.0,-25.1,0,0,0
#CH2OH*,31,5,5084.0,0,0,0,0
#CH3OH*,32,6,5000.0,-45.4,0,0,0
#O2*,32,2,1200.0,0,0,0,0
#CO2*,44,3,2600.0,-93.96,0,0,0
#NO2*,46,3,2400.0,8.8,0,0,0
#O2H*,33,3,5000.0,3.63,0,0,0
! HERE SOME EXCITED SPECIES NEEDED THEIR BASE COUNTERPARTS ADDED
! ALSO GROUND STATE GAS PHASE COUNTERPARTS ARE INCLUDED HERE FOR DESORPTION
#S,32,2600,0,0,0,0
#S*,32,2600,0,0,0,0
#O3,48,2100,0,0,0,0
#O3*,48,2100,0,0,0,0
#CH3CO,43,2325,0,0,0,0
#CH3CO*,43,2325,0,0,0,0
#CH3COCH3,58,3500,0,0,0,0
#CH3COCH3*,58,3500,0,0,0,0
CH3CO,43,0,0,0,0,0
O3,48,0,0,0,0,0
CH3COCH3,58,0,0,0,0,0
