81,CH,C2+,NAN,C2,CH+,NAN,NAN,3.20E-10,-0.50,0.0,10,41000
82,CH,CN+,NAN,CN,CH+,NAN,NAN,6.40E-10,-0.50,0.0,10,41000
83,CH,CO+,NAN,CO,CH+,NAN,NAN,3.20E-10,-0.50,0.0,10,41000
84,CH,H2CO+,NAN,H2CO,CH+,NAN,NAN,3.10E-10,-0.50,0.0,10,41000
85,CH,H2O+,NAN,H2O,CH+,NAN,NAN,3.40E-10,-0.50,0.0,10,41000
86,CH,N+,NAN,N,CH+,NAN,NAN,3.60E-10,-0.50,0.0,10,41000
87,CH,N2+,NAN,N2,CH+,NAN,NAN,6.30E-10,-0.50,0.0,10,41000
88,CH,NH2+,NAN,NH2,CH+,NAN,NAN,3.50E-10,-0.50,0.0,10,41000
89,CH,O+,NAN,O,CH+,NAN,NAN,3.50E-10,-0.50,0.0,10,41000
90,CH,O2+,NAN,O2,CH+,NAN,NAN,3.10E-10,-0.50,0.0,10,41000
91,CH,OH+,NAN,OH,CH+,NAN,NAN,3.50E-10,-0.50,0.0,10,41000
92,CN+,CO,NAN,CO+,CN,NAN,NAN,6.30E-10,0.00,0.0,10,41000
93,CN+,H2CO,NAN,H2CO+,CN,NAN,NAN,5.20E-10,-0.50,0.0,10,41000
94,CN+,HCN,NAN,HCN+,CN,NAN,NAN,1.79E-09,-0.50,0.0,10,41000
95,CN+,HCO,NAN,HCO+,CN,NAN,NAN,3.70E-10,-0.50,0.0,10,41000
96,CN+,NO,NAN,NO+,CN,NAN,NAN,5.70E-10,0.00,0.0,10,41000
97,CN+,O2,NAN,O2+,CN,NAN,NAN,2.58E-10,0.00,0.0,10,41000
98,CN+,S,NAN,S+,CN,NAN,NAN,1.10E-09,0.00,0.0,10,41000
99,CN,N2+,NAN,N2,CN+,NAN,NAN,1.00E-10,-0.50,0.0,10,41000
100,CO+,H2CO,NAN,H2CO+,CO,NAN,NAN,1.35E-09,-0.50,0.0,10,41000
101,CO+,H2S,NAN,H2S+,CO,NAN,NAN,2.44E-09,-0.50,0.0,10,41000
102,CO+,HCO,NAN,HCO+,CO,NAN,NAN,7.40E-10,-0.50,0.0,10,41000
103,CO+,NO,NAN,NO+,CO,NAN,NAN,3.30E-10,0.00,0.0,10,41000
104,CO+,O2,NAN,O2+,CO,NAN,NAN,1.20E-10,0.00,0.0,10,41000
105,CO+,S,NAN,S+,CO,NAN,NAN,1.10E-09,0.00,0.0,10,41000
106,CO,N2+,NAN,N2,CO+,NAN,NAN,7.40E-11,0.00,0.0,10,41000
107,CL+,H,NAN,CL,H+,NAN,NAN,6.20E-11,0.79,6920.0,10,41000
108,CL,H+,NAN,CL+,H,NAN,NAN,9.30E-11,0.73,232.0,10,41000
109,H+,C2,NAN,C2+,H,NAN,NAN,3.10E-09,0.00,0.0,10,41000
110,H+,C2H2,NAN,C2H2+,H,NAN,NAN,5.40E-10,0.00,0.0,10,41000
111,H+,C2H,NAN,C2H+,H,NAN,NAN,1.50E-09,0.00,0.0,10,41000
112,H+,C2N,NAN,C2N+,H,NAN,NAN,4.00E-09,0.00,0.0,10,300
113,H+,CH2,NAN,CH2+,H,NAN,NAN,1.40E-09,0.00,0.0,10,41000
114,H+,CH3,NAN,CH3+,H,NAN,NAN,3.40E-09,0.00,0.0,10,41000
115,H+,CH4,NAN,CH4+,H,NAN,NAN,1.50E-09,0.00,0.0,10,41000
116,H+,CH,NAN,CH+,H,NAN,NAN,1.90E-09,-0.50,0.0,10,41000
117,H+,CS,NAN,CS+,H,NAN,NAN,4.90E-09,-0.50,0.0,10,41000
118,H+,H2CO,NAN,H2CO+,H,NAN,NAN,2.96E-09,-0.50,0.0,10,300
119,H+,H2CS,NAN,H2CS+,H,NAN,NAN,4.70E-09,-0.50,0.0,10,41000
120,H+,H2O,NAN,H2O+,H,NAN,NAN,6.90E-09,-0.50,0.0,10,300
121,H+,H2S,NAN,H2S+,H,NAN,NAN,5.28E-09,-0.50,0.0,10,41000
122,H+,HCN,NAN,HCN+,H,NAN,NAN,1.05E-08,-0.13,0.0,205,565
123,H+,HCO,NAN,HCO+,H,NAN,NAN,9.40E-10,-0.50,0.0,10,41000
124,H+,HCL,NAN,HCL+,H,NAN,NAN,3.30E-09,1.00,0.0,200,520
125,H+,HS2,NAN,HS2+,H,NAN,NAN,3.00E-09,-0.50,0.0,10,300
126,H+,HS,NAN,HS+,H,NAN,NAN,1.60E-09,0.00,0.0,10,41000
127,H+,MG,NAN,MG+,H,NAN,NAN,1.10E-09,0.00,0.0,10,41000
128,H+,NH2,NAN,NH2+,H,NAN,NAN,2.90E-09,-0.50,0.0,10,41000
129,H+,NH3,NAN,NH3+,H,NAN,NAN,3.70E-09,-0.50,0.0,10,41000
130,H+,NH,NAN,NH+,H,NAN,NAN,2.10E-09,-0.50,0.0,10,41000
131,H+,NO,NAN,NO+,H,NAN,NAN,2.90E-09,0.00,0.0,10,300
