 124 h+       hcl               hcl+     h                  3.30e-09    1.00       0.0
 125 h+       hs2               hs2+     h                  3.00e-09   -0.50       0.0
 126 h+       hs                hs+      h                  1.60e-09    0.00       0.0
 127 h+       mg                mg+      h                  1.10e-09    0.00       0.0
 128 h+       nh2               nh2+     h                  2.90e-09   -0.50       0.0
 129 h+       nh3               nh3+     h                  3.70e-09   -0.50       0.0
 130 h+       nh                nh+      h                  2.10e-09   -0.50       0.0
 131 h+       no                no+      h                  2.90e-09    0.00       0.0
 132 h+       ns                ns+      h                  4.70e-09   -0.50       0.0
 133 h+       o2                o2+      h                  2.00e-09    0.00       0.0
 134 h+       o                 o+       h                  6.86e-10    0.26     224.3
 135 h+       ocs               ocs+     h                  2.10e-09    0.00       0.0
 136 h+       oh                oh+      h                  2.10e-09   -0.50       0.0
 137 h+       s2                s2+      h                  3.00e-09    0.00       0.0
 138 h+       s                 s+       h                  1.30e-09    0.00       0.0
 139 h+       so2               so2+     h                  5.78e-09   -0.50       0.0
 140 h+       so                so+      h                  3.20e-09   -0.50       0.0
 141 h+       si                si+      h                  9.90e-10    0.00       0.0
 142 h+       sic2              sic2+    h                  3.00e-09   -0.50       0.0
 143 h+       sic3              sic3+    h                  3.00e-09   -0.50       0.0
 144 h+       sic               sic+     h                  3.00e-09   -0.50       0.0
 145 h+       sih2              sih2+    h                  1.50e-09    0.00       0.0
 146 h+       sih3              sih3+    h                  1.50e-09    0.00       0.0
 147 h+       sih4              sih4+    h                  1.50e-09    0.00       0.0
 148 h+       sih               sih+     h                  1.70e-09    0.00       0.0
 149 h+       sio               sio+     h                  3.30e-09   -0.50       0.0
 150 h+       sis               sis+     h                  1.50e-09   -0.50       0.0
 151 h2+      c2                c2+      h2                 1.10e-09    0.00       0.0
 152 h2+      c2h2              c2h2+    h2                 4.82e-09    0.00       0.0
 153 h2+      c2h               c2h+     h2                 1.00e-09    0.00       0.0
 154 h2+      ch2               ch2+     h2                 1.00e-09    0.00       0.0
 155 h2+      ch4               ch4+     h2                 1.40e-09    0.00       0.0
 156 h2+      ch                ch+      h2                 7.10e-10   -0.50       0.0
 157 h2+      cn                cn+      h2                 1.20e-09   -0.50       0.0
 158 h2+      co                co+      h2                 6.44e-10    0.00       0.0
 159 h2+      h2co              h2co+    h2                 1.40e-09   -0.50       0.0
 160 h2+      h2o               h2o+     h2                 3.90e-09   -0.50       0.0
 161 h2+      h2s               h2s+     h2                 2.70e-09   -0.50       0.0
 162 h2+      hcn               hcn+     h2                 2.70e-09   -0.50       0.0
 163 h2+      hco               hco+     h2                 1.00e-09   -0.50       0.0
 164 h2+      nh2               nh2+     h2                 2.10e-09   -0.50       0.0
 165 h2+      nh3               nh3+     h2                 5.70e-09   -0.50       0.0
 166 h2+      nh                nh+      h2                 7.60e-10   -0.50       0.0
 167 h2+      no                no+      h2                 1.10e-09    0.00       0.0
 168 h2+      o2                o2+      h2                 8.00e-10    0.00       0.0
 169 h2+      oh                oh+      h2                 7.60e-10   -0.50       0.0
 170 h2       he+               he       h2+                7.20e-15    0.00       0.0
 171 h2co+    s                 s+       h2co               5.50e-10    0.00       0.0
 172 h2co     o2+               o2       h2co+              2.07e-09   -0.50       0.0
 173 h2o+     c2                c2+      h2o                4.70e-10    0.00       0.0
 174 h2o+     c2h2              c2h2+    h2o                1.90e-09    0.00       0.0
 175 h2o+     c2h               c2h+     h2o                4.40e-10    0.00       0.0
 176 h2o+     h2co              h2co+    h2o                1.41e-09   -0.50       0.0
 177 h2o+     h2s               h2s+     h2o                9.72e-10   -0.50       0.0
 178 h2o+     hco               hco+     h2o                2.80e-10   -0.50       0.0
 179 h2o+     mg                mg+      h2o                2.20e-09    0.00       0.0
 180 h2o+     no                no+      h2o                2.70e-10    0.00       0.0
 181 h2o+     o2                o2+      h2o                4.60e-10    0.00       0.0
 182 h2o+     ocs               ocs+     h2o                2.50e-09    0.00       0.0
 183 h2o+     s                 s+       h2o                4.30e-10    0.00       0.0
 184 h2o+     si                si+      h2o                3.00e-09    0.00       0.0
 185 h2o      co+               co       h2o+               1.72e-09   -0.50       0.0
 186 h2o      hcn+              hcn      h2o+               1.80e-09   -0.50       0.0
 187 h2o      n2+               n2       h2o+               2.30e-09   -0.50       0.0
 188 h2s      ocs+              h2s+     ocs                1.40e-09   -0.50       0.0
 189 h        cn+               cn       h+                 6.40e-10    0.00       0.0
 190 h        co+               co       h+                 7.50e-10    0.00       0.0
 191 h        h2+               h2       h+                 6.40e-10    0.00       0.0
 192 h        hcn+              hcn      h+                 3.70e-11    0.00       0.0
 193 h        he+               he       h+                 1.20e-15    0.25       0.0
 194 h        o+                o        h+                 5.66e-10    0.36      -8.6
 195 hcn+     no                no+      hcn                8.10e-10    0.00       0.0
 196 hcn+     o2                o2+      hcn                3.20e-10    0.00       0.0
 197 hcn+     s                 s+       hcn                5.70e-10    0.00       0.0
 198 hcn      co+               co       hcn+               3.40e-09   -0.50       0.0
 199 hcn      n2+               n2       hcn+               3.90e-10   -0.50       0.0
 200 hco      h2co+             h2co     hco+               3.60e-10   -0.50       0.0
 201 hco      h2s+              h2s      hco+               7.00e-10   -0.50       0.0
 202 hco      o2+               o2       hco+               3.60e-10   -0.50       0.0
 203 hco      s+                s        hco+               3.60e-10   -0.50       0.0
 204 hco      sio+              sio      hco+               6.60e-10   -0.50       0.0
 205 he+      c2                c2+      he                 5.00e-10    0.00       0.0
 206 he+      c2h2              c2h2+    he                 2.54e-10    0.00       0.0
 207 he+      c                 c+       he                 6.30e-15    0.75       0.0
 208 he+      ch4               ch4+     he                 5.10e-11    0.00       0.0
 209 he+      ch                ch+      he                 5.00e-10   -0.50       0.0
 210 he+      h2co              h2co+    he                 9.69e-10   -0.50       0.0
 211 he+      h2o               h2o+     he                 6.05e-11   -0.50       0.0
 212 he+      h2s               h2s+     he                 3.08e-10   -0.50       0.0
 213 he+      n2                n2+      he                 6.40e-10    0.00       0.0
 214 he+      nh3               nh3+     he                 2.64e-10   -0.50       0.0
 215 he+      o2                o2+      he                 3.30e-11    0.00       0.0
 216 he+      so2               so2+     he                 4.30e-10   -0.50       0.0
 217 he+      si                si+      he                 3.30e-09    0.00       0.0
 218 mg       c2h2+             c2h2     mg+                3.00e-09    0.00       0.0
 219 mg       cs+               cs       mg+                2.70e-10    0.00       0.0
 220 mg       h2co+             h2co     mg+                2.90e-09    0.00       0.0
 221 mg       h2s+              h2s      mg+                2.80e-09    0.00       0.0
 222 mg       hco+              hco      mg+                2.90e-09    0.00       0.0
 223 mg       hs+               hs       mg+                2.60e-09    0.00       0.0
 224 mg       n2+               n2       mg+                7.00e-10    0.00       0.0
 225 mg       no+               no       mg+                8.10e-10    0.00       0.0
 226 mg       o2+               o2       mg+                1.20e-09    0.00       0.0
 227 mg       s+                s        mg+                2.80e-10    0.00       0.0
 228 mg       so+               so       mg+                1.00e-10    0.00       0.0
 229 mg       si+               si       mg+                2.90e-09    0.00       0.0
 230 mg       sio+              sio      mg+                1.00e-09    0.00       0.0
 231 n+       c2                c2+      n                  1.00e-09    0.00       0.0
 232 n+       c2h               c2h+     n                  9.50e-10    0.00       0.0
