1985,#CO2,DEUVCR,,CO2,,,,1,0,2690,,,
1986,#CH4,DEUVCR,,CH4,,,,1,0,1080,,,
1987,#N2,DEUVCR,,N2,,,,1,0,710,,,
1988,#HCN,DEUVCR,,HCN,,,,1,0,4170,,,
1989,#C2H,DEUVCR,,C2H,,,,1,0,1460,,,
1990,#NH3,DEUVCR,,NH3,,,,1,0,3080,,,
1991,#O2,DEUVCR,,O2,,,,1,0,1210,,,
1992,#CS,DEUVCR,,CS,,,,1,0,2000,,,
1993,#SO,DEUVCR,,SO,,,,1,0,2000,,,
1994,#H2S,DEUVCR,,H2S,,,,1,0,1800,,,
1996,#OCS,DEUVCR,,OCS,,,,1,0,3000,,,
1997,#SO2,DEUVCR,,SO2,,,,1,0,3460,,,
1998,#NS,DEUVCR,,NS,,,,1,0,2000,,,
1999,#H2CS,DEUVCR,,H2CS,,,,1,0,2250,,,
2000,#MG,DEUVCR,,MG,,,,1,0,5300,,,
2002,#H2CN,DEUVCR,,H2CN,,,,1,0,1760,,,#
2005,#O2H,DEUVCR,,O2H,,,,1,0,1510,,,
2006,#NO2,DEUVCR,,NO2,,,,1,0,2520,,,
2007,#HNO,DEUVCR,,HNO,,,,1,0,1510,,,
2008,#CH3OH,DEUVCR,,CH3OH,,,,1,0,4240,,,
2009,#HNC,DEUVCR,,HNC,,,,1,0,1510,,,
2010,#HC3N,DEUVCR,,HC3N,,,,1,0,2970,,,
2011,#C2H2,DEUVCR,,C2H2,,,,1,0,2400,,,
2012,#CH3CN,DEUVCR,,CH3CN,,,,1,0,2270,,,
2013,#C2H5,DEUVCR,,C2H5,,,,1,0,2110,,,
2014,#H2CO,DEUVCR,,H2CO,,,,1,0,1760,,,
2015,#C2,DEUVCR,,C2,,,,1,0,1210,,,
2016,#NO,DEUVCR,,NO,,,,1,0,1210,,,
2017,#CH2CO,DEUVCR,,CH2CO,,,,1,0,2520,,,
2018,#C2H4,DEUVCR,,C2H4,,,,1,0,2010,,,
2019,#C2H3,DEUVCR,,C2H3,,,,1,0,1760,,,
2020,#CH3CCH,DEUVCR,,CH3CCH,,,,1,0,2470,,,
2021,#C2H5OH,DEUVCR,,C2H5OH,,,,1,0,3470,,,
2022,CL,FREEZE,,#HCL,,,,1,0,0,,,
2023,HCL,FREEZE,,#HCL,,,,1,0,0,,,
2024,CL+,FREEZE,,#HCL,,,,1,1,0,,,
2025,HCL+,FREEZE,,#HCL,,,,1,1,0,,,
2026,H2CL+,FREEZE,,#HCL,H,,,1,1,0,,,
4574,COOCH4+,FREEZE,,#HCOOCH3,,,,1,1,0,,,
4578,#SIH4,DESOH2,,SIH4,,,,1,0,3000,,,!INVENTED
4579,#SIO,DESOH2,,SIO,,,,1,0,3500,,,
4580,#SIC,DESOH2,,SIC,,,,1,0,3500,,,!INVENTED
4581,#SIC2,DESOH2,,SIC2,,,,1,0,3500,,,!INVENTED
4582,#SIC3,DESOH2,,SIC3,,,,1,0,3500,,,!INVENTED
4583,#H2SIO,DESOH2,,H2SIO,,,,1,0,3500,,,!INVENTED
4584,#SIS,DESOH2,,SIS,,,,1,0,3500,,,!INVENTED
4585,#HCL,DESOH2,,HCL,,,,1,0,3500,,,!INVENTED
4588,#SIH4,DESCR1,,SIH4,,,,1,0,3000,,,!INVENTED
4589,#SIO,DESCR1,,SIO,,,,1,0,3500,,,
4590,#SIC,DESCR1,,SIC,,,,1,0,3500,,,!INVENTED
4591,#SIC2,DESCR1,,SIC2,,,,1,0,3500,,,!INVENTED
4592,#SIC3,DESCR1,,SIC3,,,,1,0,3500,,,!INVENTED
4593,#H2SIO,DESCR1,,H2SIO,,,,1,0,3500,,,!INVENTED
4594,#SIS,DESCR1,,SIS,,,,1,0,3500,,,!INVENTED
4595,#HCL,DESCR1,,HCL,,,,1,0,3500,,,!INVENTED
4598,#SIH4,DESCR2,,SIH4,,,,1,0,3000,,,!INVENTED
4599,#SIO,DESCR2,,SIO,,,,1,0,3500,,,
4600,#SIC,DESCR2,,SIC,,,,1,0,3500,,,!INVENTED
4601,#SIC2,DESCR2,,SIC2,,,,1,0,3500,,,!INVENTED
4602,#SIC3,DESCR2,,SIC3,,,,1,0,3500,,,!INVENTED
4603,#H2SIO,DESCR2,,H2SIO,,,,1,0,3500,,,!INVENTED
4604,#SIS,DESCR2,,SIS,,,,1,0,3500,,,!INVENTED
4605,#HCL,DESCR2,,HCL,,,,1,0,3500,,,!INVENTED
4608,#SIH4,DEUVCR,,SIH4,,,,1,0,3000,,,!INVENTED
4609,#SIO,DEUVCR,,SIO,,,,1,0,3500,,,
4610,#SIC,DEUVCR,,SIC,,,,1,0,3500,,,!INVENTED
4611,#SIC2,DEUVCR,,SIC2,,,,1,0,3500,,,!INVENTED
4612,#SIC3,DEUVCR,,SIC3,,,,1,0,3500,,,!INVENTED
4613,#H2SIO,DEUVCR,,H2SIO,,,,1,0,3500,,,!INVENTED
4614,#SIS,DEUVCR,,SIS,,,,1,0,3500,,,!INVENTED
4615,#HCL,DEUVCR,,HCL,,,,1,0,3500,,,!INVENTED
4616,#HNCO,DESOH2,,HNCO,,,,1,0,3500,,,!INVENTED
4617,#HNCO,DESCR1,,HNCO,,,,1,0,3500,,,!INVENTED
4618,#HNCO,DESCR2,,HNCO,,,,1,0,3500,,,!INVENTED
4619,#HNCO,DEUVCR,,HNCO,,,,1,0,3500,,,!INVENTED
4620,C3H2,FREEZE,,#C3H2,,,,1,0,0,,,
4621,C4H,FREEZE,,#C4H,,,,1,0,0,,,
4622,#C3H2,DESOH2,,C3H2,,,,1,0,4200,,,
4623,#C4H,DESOH2,,C4H,,,,1,0,4200,,,
4624,#C3H2,DESCR1,,C3H2,,,,1,0,4200,,,
4625,#C4H,DESCR1,,C4H,,,,1,0,4200,,,
4626,#C3H2,DESCR2,,C3H2,,,,1,0,4200,,,
4627,#C4H,DESCR2,,C4H,,,,1,0,4200,,,
4628,#C3H2,DEUVCR,,C3H2,,,,1,0,4200,,,
4629,#C4H,DEUVCR,,C4H,,,,1,0,4200,,,
4634,S2,FREEZE,,#H2S2,,,,1.00E+00,0.00,0.0,,,
4635,HS20,FREEZE,,#H2S2,1.00E+00,0.00,0.0,,,
4653,H3CO+,FREEZE,,#CH3OH,,,,1.0,1,0,,,
4665,H2S2,FREEZE,,#H2S2,,,,1.00E+000,0,0,,,
4669,CH3O,FREEZE,#CH3O,1.00E+000,0,0,,,
4694,#H2S2,DESOH2,,H2S2,,,,1.00E+000,0,0,,,
4695,#H2S2,DESCR1,,H2S2,,,,1.00E+000,0,0,,,
4696,#H2S2,DESCR2,,H2S2,,,,1.00E+000,0,0,,,
4697,#H2S2,DEUVCR,,H2S2,,,,1.00E+000,0,0,,,
4698,#HS,DESOH2,,HS,,,,1.00E+000,0,0,,,
4699,#HS,DESCR1,,HS,,,,1.00E+000,0,0,,,
4700,#HS,DESCR2,,HS,,,,1.00E+000,0,0,,,
4701,#HS,DEUVCR,,HS,,,,1.00E+000,0,0,,,
4703,HS2,FREEZE,,#H2S2,,,,1.0,0,0,,
4704,HS2+,FREEZE,,#H2S2,,,,1.0,0,0,,
