!
! H ABSTRACTION REACTIONS. RATES FROM GARROD 2008
!
#CNO,CRPHOT,,#CN,#O,,,1.3E-17,0,750,,,
#HNCO,PHOTON,,#NH,#CO,,,1.00E-09,0.00,1.7,,,
#HOCN,PHOTON,,#OH,#CN,,,1.00E-09,0.00,1.7,,,
#HCNO,PHOTON,,#CH,#NO,,,1.00E-09,0.00,1.7,,,
#HONC,PHOTON,,#OH,#CN,,,1.00E-09,0.00,1.7,,,
#CNO,PHOTON,,#CN,#O,,,1.00E-11,0.00,2.0,,,
!
!%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%
! FROM FEDOSEEV+ 2015, BELLOCHE+2017
!%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%
!
#NH,#CO,DIFF,#HNCO,,,,1,0,4200,,, 
#NH,#CO,CHEMDES,HNCO,,,,1,0,4200,,, 
HOCN,H,,HNCO,H,,,1.0E-10,0,2000,,,
HONC,H,,HCNO,H,,,1.0E-10,0,2000,,,
#H3CO,#HNCO,DIFF,#CH3OH,#OCN,,,0,0,1200,,,
#CH3,#HNCO,DIFF,#CH,#OCN,,,0,0,1200,,,
#NH,#HNCO,DIFF,#NH2,#OCN,,,0,0,1200,,,
#NH2,#HNCO,DIFF,#NH3,#OCN,,,0,0,1200,,,
#OH,#HNCO,DIFF,#H2O,#OCN,,,0,0,1290,,,
!
!%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%
!% KIDA NETWORK
!%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%
!
! HYDROGENATION OF HNCO (SONG ET AL. 2016)
!
#H,#HOCN,DIFF,#H2O,#CN,,,0.5,0,2300,,,              ! E_A FROM GARROD
#H,#HOCN,DIFF,#H2OCN,,,,0.5,0,1962,,,
#H,#HOCN,CHEMDES,H2O,CN,,,0.5,0,2300,,,
#H,#HOCN,CHEMDES,H2OCN+,,,,0.5,0,1962,,,
#H,#HCNO,DIFF,#CH2,#NO,,,0.5,0,2300,,,       		! E_A FROM GARROD
#H,#HCNO,DIFF,#H2CNO,,,,0.5,0,1962,,,
#H,#HCNO,CHEMDES,CH2,NO,,,0.5,0,2300,,,
#H,#HCNO,CHEMDES,H2CNO+,,,,0.5,0,1962,,,
#H,#HNCO,DIFF,#NH2,#CO,,,0.5,0,2300,,,      		! E_A FROM GARROD
#H,#HNCO,DIFF,#H2NCO,,,,0.5,0,1962,,,
#H,#HNCO,CHEMDES,NH2,CO,,,0.5,0,2300,,,
#H,#HNCO,CHEMDES,H2NCO+,,,,0.5,0,1962,,,
#H,#H2NCO,DIFF,#NH2CHO,,,,0.0,0,0,,,
#H,#H2NCO,CHEMDES,NH2CHO,,,,0.0,0,0,,,
!
! RADICAL REACTION (FEDOSEEV ET AL. 2016)                                   
!
#NH2,#HCO,DIFF,#NH2CHO,,,,0.5,0,0,,,
#NH2,#HCO,CHEMDES,NH2CHO,,,,0.5,0,0,,,
#NH2,#HCO,DIFF,#NH3,#CO,,,0.5,0,0,,,
#NH2,#HCO,CHEMDES,NH3,CO,,,0.5,0,0,,,
#NH2,#H2CO,DIFF,#NH2CHO,H,,,0.5,0,0,,,
#NH2,#H2CO,CHEMDES,NH2CHO,H,,,0.5,0,0,,,
#NH2,#H2CO,DIFF,#NH3,#HCO,,,0.5,0,0,,,
#NH2,#H2CO,CHEMDES,NH3,HCO,,,0.5,0,0,,,
H,#H2NCO,DIFF,#HNCO,H2,,,1.0,0,0,,,! NOBLE ET AL. 2015
H,#H2NCO,CHEMDES,HNCO,H2,,,1.0,0,0,,,! NOBLE ET AL. 2015
NH2,H2CO,,NH2CHO,H,,,77.9E-16,-2.56,25,,,! SKOUTERIS ET AL. 2017
!
! (GARROD 2006)
!
#HCO,#H3CO,DIFF,#HCOOCH3,,,,1.0,0,0,,,
#HCO,#H3CO,CHEMDES,HCOOCH3,,,,1.0,0,0,,,
#HCO,#CH2OH,DIFF,#HCOOCH3,,,,1.0,0,0,,,
#HCO,#CH2OH,CHEMDES,HCOOCH3,,,,1.0,0,0,,,
#CH3,#H3CO,DIFF,#CH3OCH3,,,,1.0,0,0,,,
#CH3,#H3CO,CHEMDES,CH3OCH3,,,,1.0,0,0,,,
#HCO,#OH,DIFF,#HCOOH,,,,1.0,0,0,,,
#HCO,#OH,CHEMDES,HCOOH,,,,1.0,0,0,,,
#CH3,#C2H3,DIFF,#CH3CHCH2,,,,1.0,0,0,,,
#CH3,#C2H3,CHEMDES,CH3CHCH2,,,,1.0,0,0,,,
#CH3,#HCO,DIFF,#CH3CHO,,,,1.0,0,0,,,
#CH3,#HCO,CHEMDES,CH3CHO,,,,1.0,0,0,,,
