CH3OCH3,46,NA,0
H2CS,46,NA,0
H2CS+,46,NA,0
H2SIO,46,NA,0
NO2,46,NA,0
NS,46,NA,0
NS+,46,NA,0
C2H5OH2+,47,NA,0
H3CS+,47,NA,0
HNS+,47,NA,0
#SO,48,H2O,2600
SO,48,NA,0
SO+,48,NA,0
#C4H,49,REAC,3737
C4H,49,NA,0
HSO+,49,NA,0
C3N,50,NA,0
#HC3N,51,INT2,4580
HC3N,51,NA,0
#NCCN,52,REAC,3000
#SIC2,52,REAC,4300
C2N2+,52,NA,0
NCCN,52,NA,0
SIC2,52,NA,0
SIC2+,52,NA,0
#C2H5CN,55,H2O,5537
#C3H3O,55,REAC,2800
C2H5CN,55,NA,0
C3H3O,55,NA,0
#CH3NCO,57,H2O,3000
CH3NCO,57,NA,0
#HOCCOH,58,H2O,3200
CH3NCOH+,58,NA,0
HOCCOH,58,NA,0
#CH2OHCHO,60,INT2,6684
#HCOOCH3,60,CO1,5200
#OCS,60,INT2,2888
#SIS,60,CO2,3800
CH2OHCHO,60,NA,0
COOCH4+,60,NA,0
HCOOCH3,60,NA,0
OCS,60,NA,0
OCS+,60,NA,0
SIS,60,NA,0
SIS+,60,NA,0
H5C2O2+,61,NA,0
HOCS+,61,NA,0
HSIS+,61,NA,0
#C4N,62,REAC,4000
#CH2OHCH2OH,62,REAC,10168
C4N,62,NA,0
C4N+,62,NA,0
CH2OHCH2OH,62,NA,0
#S2,64,REF,2200
#SIC3,64,H2O,5100
#SO2,64,INT2,3405
S2,64,NA,0
S2+,64,NA,0
SIC3,64,NA,0
SIC3+,64,NA,0
SO2,64,NA,0
SO2+,64,NA,0
#HS2,65,REAC,2650
HS2,65,NA,0
HS2+,65,NA,0
HSO2+,65,NA,0
#H2S2,66,INT1,3100
H2S2,66,NA,0
H2S2+,66,NA,0
#CS2,76,REF,2575
CS2,76,NA,0
