!molecule
CH3CN
!molecular weight
41
!number of energy levels
251
!level + energies(cm^-1) + weight + J_K
6	246	244	8.938217E-05	238.473701	1106.33
7	245	243	4.836257E-03	421.976601	1105.75
8	243	242	4.161012E-03	403.644870	1085.50
9	242	241	3.551000E-03	385.311129	1066.13
10	241	240	2.788456E-03	366.975469	1047.64
11	240	239	2.320246E-03	348.637981	1030.02
12	239	237	1.906360E-03	330.298758	1013.29
13	238	235	7.077326E-03	458.819946	999.57
14	237	236	1.389171E-03	311.957889	997.44
15	236	234	1.091958E-03	293.615466	982.47
16	235	233	5.897178E-03	440.485059	977.55
17	234	232	7.184010E-04	275.271582	968.38
18	233	230	5.126984E-03	422.147979	956.41
19	232	231	5.203446E-04	256.926327	955.17
20	231	229	2.685046E-04	238.579792	942.84
21	230	227	4.426464E-03	403.808797	936.15
22	229	228	7.603173E-05	220.232070	931.39
23	227	226	3.792350E-03	385.467605	916.77
24	226	225	3.221371E-03	367.124494	898.27
25	225	223	2.516663E-03	348.779555	880.66
26	224	221	7.085128E-03	458.988486	864.37
27	223	222	2.082200E-03	330.432880	863.92
28	222	220	1.699944E-03	312.084560	848.06
29	221	219	6.214399E-03	440.646857	842.34
30	220	218	1.229950E-03	293.734686	833.08
31	219	216	5.417782E-03	422.303036	821.20
32	218	217	9.590352E-04	275.383350	818.98
33	217	215	6.251744E-04	257.030644	805.77
34	216	213	4.692010E-03	403.957112	800.93
35	215	214	4.480529E-04	238.676658	793.43
36	214	212	2.283731E-04	220.321484	781.98
37	213	211	4.033813E-03	385.609179	781.54
38	212	210	6.373751E-05	201.965214	771.40
39	211	209	3.224921E-03	367.259326	763.04
40	209	207	2.713239E-03	348.907645	745.41
41	208	206	7.429833E-03	459.139285	743.32
42	207	205	2.258203E-03	330.554229	728.66
43	206	204	6.531552E-03	440.791624	721.28
44	205	203	1.856529E-03	312.199167	712.80
45	204	201	5.708551E-03	422.441771	700.13
46	203	202	1.368117E-03	293.842552	697.82
47	202	200	1.080104E-03	275.484474	683.72
48	201	199	4.957560E-03	404.089815	679.85
49	200	198	8.344844E-04	257.125026	670.49
50	199	196	4.037790E-03	385.735850	660.46
51	198	197	5.382560E-04	238.764299	658.15
52	197	194	3.810413E-04	220.402384	646.70
53	196	192	3.443307E-03	367.379965	641.95
54	195	190	7.774308E-03	459.272342	636.44
55	194	193	1.914232E-04	202.039372	636.12
56	193	191	5.250813E-05	183.675354	626.42
57	192	189	2.909908E-03	349.022252	624.32
58	190	188	6.537232E-03	440.919360	614.40
59	189	187	2.434308E-03	330.662804	607.57
60	188	185	5.713515E-03	422.564184	593.24
61	187	186	2.013222E-03	312.301710	591.70
62	186	184	1.643359E-03	293.939063	576.71
63	185	183	4.961871E-03	404.206906	572.96
64	184	182	1.201298E-03	275.574954	562.60
65	183	179	4.279024E-03	385.847618	553.56
66	182	180	9.397203E-04	257.209474	549.38
67	181	177	7.780166E-03	459.387659	543.76
68	180	178	7.183820E-04	238.842714	537.03
69	179	176	3.661695E-03	367.486411	535.04
70	178	175	4.577002E-04	220.474767	525.57
71	177	172	6.853689E-03	441.030064	521.72
72	176	173	3.106600E-03	349.123376	517.41
73	175	174	3.193532E-04	202.105723	514.99
74	174	171	1.576796E-04	183.735674	505.29
75	173	169	2.610455E-03	330.758605	500.65
76	172	168	6.003711E-03	422.670275	500.55
77	171	170	4.235143E-05	165.364711	496.47
78	169	167	2.169970E-03	312.392189	484.78
79	168	165	5.226957E-03	404.308385	480.27
80	167	164	1.644788E-03	294.024220	469.78
81	166	163	8.123608E-03	459.485235	465.31
82	165	161	4.520150E-03	385.944484	460.86
83	164	162	1.322577E-03	275.654788	455.67
84	163	158	6.858057E-03	441.123737	443.26
85	162	160	1.045041E-03	257.283986	442.44
86	161	159	3.880009E-03	367.578665	442.34
87	160	157	8.088823E-04	238.911904	430.10
88	159	155	3.303249E-03	349.211017	424.70
89	158	154	6.007537E-03	422.760045	422.09
90	157	156	5.344478E-04	220.538635	418.63
91	156	152	3.835569E-04	202.164268	408.05
92	155	151	2.786583E-03	330.841633	407.94
93	154	149	5.230288E-03	404.394252	401.80
94	153	147	8.127843E-03	459.565070	401.09
95	152	150	2.630278E-04	183.788897	398.34
96	151	146	2.171604E-03	312.470605	392.06
97	150	148	1.271647E-04	165.412612	389.52
98	149	144	4.523031E-03	386.026448	382.39
99	148	145	3.327445E-05	147.035504	381.58
100	147	142	7.173525E-03	441.200378	379.04
101	146	143	1.783195E-03	294.098023	377.07
102	144	139	3.882482E-03	367.656725	363.86
103	143	140	1.443898E-03	275.723978	362.95
104	142	138	6.296891E-03	422.833493	357.87
105	141	135	8.131138E-03	459.627163	351.14
106	140	137	1.150411E-03	257.348563	349.72
107	139	136	3.305354E-03	349.285175	346.22
108	138	133	5.494665E-03	404.464506	337.57
109	137	134	8.994350E-04	238.971869	337.37
110	136	130	2.788358E-03	330.911888	329.46
111	135	129	7.176433E-03	441.259988	329.08
112	134	131	6.876647E-04	220.593987	325.90
113	133	127	4.763567E-03	386.093509	318.16
114	132	123	8.133492E-03	459.671516	315.44
115	131	128	4.478201E-04	202.215008	315.31
116	130	126	2.328201E-03	312.536956	313.58
