   47  11   2  6.94E-14  8.12E-14  1.13E-13  1.60E-13  2.20E-13  2.92E-13  3.74E-13  4.64E-13  5.60E-13  6.59E-13  7.61E-13  9.67E-13  1.17E-12  1.36E-12  1.55E-12  1.72E-12  1.88E-12  2.03E-12  2.16E-12  2.29E-12  2.41E-12  2.68E-12  2.90E-12  3.09E-12  3.25E-12
   48  11   3  7.55E-13  8.29E-13  1.01E-12  1.25E-12  1.51E-12  1.80E-12  2.10E-12  2.40E-12  2.69E-12  2.99E-12  3.27E-12  3.83E-12  4.35E-12  4.85E-12  5.32E-12  5.78E-12  6.21E-12  6.63E-12  7.03E-12  7.41E-12  7.78E-12  8.65E-12  9.44E-12  1.02E-11  1.08E-11
   49  11   4  4.24E-13  4.71E-13  5.84E-13  7.31E-13  9.05E-13  1.10E-12  1.31E-12  1.53E-12  1.76E-12  1.99E-12  2.22E-12  2.68E-12  3.12E-12  3.54E-12  3.94E-12  4.31E-12  4.65E-12  4.97E-12  5.27E-12  5.54E-12  5.80E-12  6.37E-12  6.85E-12  7.26E-12  7.61E-12
   50  11   5  5.00E-12  5.32E-12  5.96E-12  6.70E-12  7.45E-12  8.19E-12  8.90E-12  9.57E-12  1.02E-11  1.08E-11  1.14E-11  1.25E-11  1.36E-11  1.46E-11  1.55E-11  1.63E-11  1.71E-11  1.79E-11  1.86E-11  1.93E-11  2.00E-11  2.15E-11  2.28E-11  2.41E-11  2.52E-11
   51  11   6  1.48E-12  1.59E-12  1.83E-12  2.11E-12  2.42E-12  2.75E-12  3.08E-12  3.42E-12  3.75E-12  4.09E-12  4.41E-12  5.05E-12  5.65E-12  6.22E-12  6.75E-12  7.25E-12  7.71E-12  8.15E-12  8.55E-12  8.93E-12  9.28E-12  1.01E-11  1.08E-11  1.14E-11  1.19E-11
   52  11   7  2.39E-11  2.50E-11  2.64E-11  2.79E-11  2.92E-11  3.05E-11  3.16E-11  3.26E-11  3.35E-11  3.44E-11  3.53E-11  3.68E-11  3.82E-11  3.95E-11  4.06E-11  4.17E-11  4.28E-11  4.38E-11  4.47E-11  4.56E-11  4.64E-11  4.83E-11  5.01E-11  5.17E-11  5.32E-11
   53  11   8  3.49E-12  3.62E-12  3.91E-12  4.28E-12  4.68E-12  5.10E-12  5.52E-12  5.93E-12  6.35E-12  6.75E-12  7.14E-12  7.89E-12  8.60E-12  9.25E-12  9.87E-12  1.04E-11  1.10E-11  1.15E-11  1.20E-11  1.24E-11  1.29E-11  1.38E-11  1.47E-11  1.55E-11  1.61E-11
   54  11   9  8.81E-11  9.29E-11  9.51E-11  9.66E-11  9.77E-11  9.87E-11  9.94E-11  1.00E-10  1.01E-10  1.01E-10  1.02E-10  1.03E-10  1.04E-10  1.06E-10  1.07E-10  1.08E-10  1.09E-10  1.10E-10  1.11E-10  1.13E-10  1.14E-10  1.16E-10  1.19E-10  1.22E-10  1.24E-10
   55  11  10  4.13E-12  4.41E-12  5.13E-12  5.87E-12  6.58E-12  7.26E-12  7.92E-12  8.54E-12  9.14E-12  9.71E-12  1.03E-11  1.13E-11  1.22E-11  1.30E-11  1.38E-11  1.45E-11  1.52E-11  1.58E-11  1.64E-11  1.70E-11  1.75E-11  1.87E-11  1.98E-11  2.07E-11  2.16E-11
   56  12   1  1.01E-14  1.23E-14  1.84E-14  2.81E-14  4.15E-14  5.85E-14  7.88E-14  1.02E-13  1.27E-13  1.54E-13  1.82E-13  2.39E-13  2.98E-13  3.54E-13  4.09E-13  4.61E-13  5.10E-13  5.55E-13  5.98E-13  6.38E-13  6.76E-13  7.59E-13  8.31E-13  8.92E-13  9.45E-13
