!MOLECULE
 NO from JPL database, updated 2021, incl. cross-ladder trans.          
!MOLECULAR WEIGHT
 30.
! NUMBER OF ENERGY LEVELS
 100
!LEVEL + ENERGIES(cm^-1) + WEIGHT + J (or other quantum numbers)
  237      54    48  1.006E-06         257.87004000   192.09     
  238      54    47  1.055E-08         257.87116600   192.09     
  239      17    16  2.817E-08         349.52874960    36.06     
  240      18    16  2.301E-09         349.57600680    36.06     
  241      19    16  6.397E-11         349.61488290    36.06     
  242      18    15  2.590E-08         349.66418790    36.06     
  243      19    15  3.072E-09         349.70306400    36.06     
  244      19    14  2.509E-08         349.76553920    36.06     
  245      17    11  5.416E-06         350.68949400    36.06     
  246      18    12  4.974E-06         350.69076600    36.06     
  247      19    13  4.815E-06         350.69477200    36.06     
  248      19    12  5.897E-07         350.72958300    36.06     
  249      18    11  4.423E-07         350.73677800    36.06     
  250      19    11  1.228E-08         350.77566000    36.06     
  251      20    16  1.231E-08         350.90130660    36.12     
  252      21    16  4.434E-07         350.96337000    36.13     
  253      20    15  5.913E-07         350.98958300    36.12     
  254      22    16  5.433E-06         351.04352400    36.13     
  255      21    15  4.989E-06         351.05146900    36.13     
  256      20    14  4.829E-06         351.05170500    36.12     
  257      20    13  2.558E-08         351.98122160    36.12     
  258      20    12  3.136E-09         352.01598690    36.12     
  259      20    11  6.545E-11         352.06208370    36.12     
  260      21    12  2.644E-08         352.07801730    36.13     
  261      21    11  2.355E-09         352.12411410    36.13     
  262      22    11  2.882E-08         352.20429550    36.13     
  263      65    58  1.172E-10         360.87787690   209.42     
  264      65    57  1.117E-08         360.88179970   209.42     
  265      66    58  1.117E-08         360.88700570   209.42     
  266      66    57  1.172E-10         360.89092850   209.42     
  267      67    58  4.217E-09         360.90108250   209.42     
  268      67    57  4.021E-07         360.90504000   209.42     
  269      68    58  4.021E-07         360.90935700   209.42     
  270      68    57  4.217E-09         360.91334340   209.42     
  271      65    56  5.623E-09         360.92196690   209.42     
  272      65    55  5.361E-07         360.92511000   209.42     
  273      69    58  5.163E-08         360.93075390   209.42     
  274      66    56  5.361E-07         360.93105000   209.42     
  275      66    55  5.623E-09         360.93421630   209.42     
  276      69    57  4.925E-06         360.93468800   209.42     
  277      70    58  4.925E-06         360.94030200   209.42     
  278      70    57  5.163E-08         360.94423310   209.42     
  279      67    56  4.742E-08         360.94517250   209.42     
  280      67    55  4.523E-06         360.94829100   209.42     
  281      65    54  4.591E-08         360.95253360   209.42     
  282      68    56  4.523E-06         360.95345600   209.42     
  283      65    53  4.378E-06         360.95632600   209.42     
  284      68    55  4.742E-08         360.95663120   209.42     
  285      66    54  4.378E-06         360.96164100   209.42     
  286      66    53  4.591E-08         360.96547060   209.42     
  287      12     4  3.054E-14         400.22820550    19.23     
  288      13     4  8.773E-15         400.26297080    19.23     
  289      13     3  1.231E-14         400.46822560    19.23     
  290      12     1  1.280E-14         400.65939610    19.23     
  291      13     2  4.728E-15         400.67417650    19.23     
  292      13     1  3.727E-15         400.69416150    19.23     
  293      14     4  6.536E-16         401.19222940    19.27     
  294      15     4  2.341E-15         401.25470470    19.28     
  295      14     3  8.206E-16         401.39748420    19.27     
