     33     9     5   4.58e-11  6.82e-11  7.62e-11  8.24e-11  8.59e-11  8.57e-11  8.47e-11  8.24e-11  7.87e-11  7.15e-11  6.17e-11  5.54e-11
     34     9     6   5.03e-11  7.85e-11  8.94e-11  9.68e-11  9.80e-11  9.63e-11  9.50e-11  9.31e-11  9.05e-11  8.50e-11  7.65e-11  7.07e-11
     35     9     7   6.44e-11  9.43e-11  1.03e-10  1.07e-10  1.08e-10  1.07e-10  1.07e-10  1.06e-10  1.05e-10  1.01e-10  9.69e-11  9.37e-11
     36     9     8   4.40e-11  6.85e-11  7.94e-11  9.06e-11  1.01e-10  1.05e-10  1.08e-10  1.11e-10  1.19e-10  1.34e-10  1.60e-10  1.81e-10
     37    10     1   4.27e-12  6.04e-12  6.53e-12  6.79e-12  6.82e-12  6.73e-12  6.63e-12  6.47e-12  6.16e-12  5.33e-12  4.33e-12  3.85e-12
     38    10     2   1.42e-11  2.06e-11  2.24e-11  2.33e-11  2.35e-11  2.34e-11  2.33e-11  2.30e-11  2.25e-11  2.08e-11  1.81e-11  1.62e-11
     39    10     3   1.91e-11  2.94e-11  3.35e-11  3.70e-11  3.81e-11  3.77e-11  3.72e-11  3.66e-11  3.58e-11  3.41e-11  3.01e-11  2.68e-11
     40    10     4   2.84e-11  4.44e-11  5.06e-11  5.51e-11  5.62e-11  5.52e-11  5.43e-11  5.30e-11  5.14e-11  4.76e-11  4.17e-11  3.74e-11
     41    10     5   3.82e-11  5.68e-11  6.30e-11  6.71e-11  6.91e-11  6.93e-11  6.91e-11  6.82e-11  6.61e-11  6.14e-11  5.40e-11  4.93e-11
     42    10     6   4.44e-11  6.77e-11  7.65e-11  8.31e-11  8.61e-11  8.57e-11  8.49e-11  8.31e-11  8.00e-11  7.37e-11  6.43e-11  5.84e-11
     43    10     7   5.37e-11  8.00e-11  8.93e-11  9.61e-11  9.90e-11  9.83e-11  9.70e-11  9.47e-11  9.14e-11  8.68e-11  7.89e-11  7.26e-11
     44    10     8   5.95e-11  8.76e-11  9.68e-11  1.03e-10  1.06e-10  1.06e-10  1.05e-10  1.03e-10  1.00e-10  9.70e-11  9.32e-11  8.98e-11
     45    10     9   2.98e-11  4.74e-11  5.60e-11  6.58e-11  7.76e-11  8.34e-11  8.72e-11  9.27e-11  1.01e-10  1.18e-10  1.47e-10  1.69e-10
     46    11     1   1.25e-12  2.17e-12  2.59e-12  2.96e-12  3.34e-12  3.55e-12  3.66e-12  3.78e-12  3.94e-12  4.00e-12  3.48e-12  3.09e-12
     47    11     2   9.12e-12  1.44e-11  1.65e-11  1.81e-11  1.89e-11  1.92e-11  1.95e-11  1.98e-11  1.97e-11  1.86e-11  1.66e-11  1.50e-11
     48    11     3   1.59e-11  2.50e-11  2.84e-11  3.08e-11  3.18e-11  3.20e-11  3.21e-11  3.20e-11  3.16e-11  3.02e-11  2.71e-11  2.43e-11
     49    11     4   2.46e-11  3.72e-11  4.19e-11  4.53e-11  4.62e-11  4.57e-11  4.54e-11  4.53e-11  4.58e-11  4.45e-11  3.85e-11  3.37e-11
     50    11     5   3.19e-11  4.71e-11  5.20e-11  5.52e-11  5.80e-11  5.91e-11  5.94e-11  5.92e-11  5.83e-11  5.55e-11  4.89e-11  4.36e-11
     51    11     6   3.62e-11  5.43e-11  6.11e-11  6.66e-11  7.02e-11  7.08e-11  7.07e-11  7.02e-11  6.89e-11  6.53e-11  5.78e-11  5.18e-11
     52    11     7   4.19e-11  6.47e-11  7.41e-11  8.18e-11  8.62e-11  8.62e-11  8.53e-11  8.33e-11  8.05e-11  7.55e-11  6.82e-11  6.27e-11
     53    11     8   4.88e-11  7.26e-11  8.13e-11  8.82e-11  9.25e-11  9.32e-11  9.30e-11  9.17e-11  8.88e-11  8.27e-11  7.46e-11  6.92e-11
     54    11     9   5.27e-11  8.00e-11  8.94e-11  9.55e-11  9.75e-11  9.75e-11  9.73e-11  9.66e-11  9.48e-11  9.18e-11  8.90e-11  8.73e-11
     55    11    10   2.64e-11  4.16e-11  4.89e-11  5.75e-11  6.84e-11  7.41e-11  7.78e-11  8.32e-11  9.21e-11  1.13e-10  1.45e-10  1.66e-10
     56    12     1   2.78e-12  4.26e-12  4.74e-12  4.93e-12  4.75e-12  4.55e-12  4.37e-12  4.07e-12  3.67e-12  3.27e-12  2.94e-12  2.67e-12
     57    12     2   8.84e-12  1.28e-11  1.42e-11  1.53e-11  1.60e-11  1.60e-11  1.58e-11  1.56e-11  1.58e-11  1.60e-11  1.47e-11  1.33e-11
     58    12     3   1.60e-11  2.37e-11  2.62e-11  2.75e-11  2.72e-11  2.65e-11  2.60e-11  2.56e-11  2.55e-11  2.53e-11  2.34e-11  2.12e-11
     59    12     4   1.86e-11  2.97e-11  3.42e-11  3.72e-11  3.77e-11  3.73e-11  3.73e-11  3.77e-11  3.82e-11  3.73e-11  3.34e-11  3.03e-11
     60    12     5   2.30e-11  3.51e-11  3.99e-11  4.37e-11  4.69e-11  4.87e-11  4.98e-11  5.07e-11  5.04e-11  4.75e-11  4.22e-11  3.83e-11
     61    12     6   3.00e-11  4.63e-11  5.27e-11  5.75e-11  6.05e-11  6.16e-11  6.21e-11  6.22e-11  6.14e-11  5.84e-11  5.20e-11  4.67e-11
     62    12     7   3.57e-11  5.49e-11  6.27e-11  6.90e-11  7.21e-11  7.20e-11  7.14e-11  7.02e-11  6.84e-11  6.51e-11  5.93e-11  5.46e-11
     63    12     8   4.42e-11  6.82e-11  7.72e-11  8.35e-11  8.62e-11  8.61e-11  8.56e-11  8.43e-11  8.19e-11  7.76e-11  7.02e-11  6.44e-11
     64    12     9   4.30e-11  6.59e-11  7.48e-11  8.21e-11  8.68e-11  8.75e-11  8.73e-11  8.60e-11  8.30e-11  7.73e-11  7.12e-11  6.73e-11
     65    12    10   4.69e-11  7.11e-11  8.02e-11  8.69e-11  9.02e-11  9.08e-11  9.09e-11  9.11e-11  9.12e-11  8.95e-11  8.78e-11  8.81e-11
     66    12    11   1.73e-11  2.79e-11  3.36e-11  4.11e-11  5.22e-11  5.87e-11  6.33e-11  7.01e-11  8.09e-11  1.05e-10  1.39e-10  1.60e-10
     67    13     1   1.96e-12  2.91e-12  3.18e-12  3.30e-12  3.22e-12  3.07e-12  2.98e-12  2.92e-12  3.05e-12  3.31e-12  3.25e-12  3.08e-12
     68    13     2   6.67e-12  1.05e-11  1.20e-11  1.32e-11  1.37e-11  1.37e-11  1.37e-11  1.38e-11  1.40e-11  1.35e-11  1.25e-11  1.17e-11
     69    13     3   1.32e-11  2.02e-11  2.26e-11  2.39e-11  2.38e-11  2.32e-11  2.28e-11  2.24e-11  2.23e-11  2.18e-11  1.96e-11  1.77e-11
     70    13     4   1.59e-11  2.44e-11  2.76e-11  3.01e-11  3.21e-11  3.30e-11  3.34e-11  3.37e-11  3.39e-11  3.36e-11  3.14e-11  2.85e-11
     71    13     5   2.18e-11  3.24e-11  3.61e-11  3.88e-11  4.15e-11  4.31e-11  4.41e-11  4.53e-11  4.55e-11  4.29e-11  3.76e-11  3.36e-11
     72    13     6   2.77e-11  4.12e-11  4.63e-11  5.03e-11  5.16e-11  5.15e-11  5.17e-11  5.24e-11  5.28e-11  5.07e-11  4.58e-11  4.17e-11
     73    13     7   2.95e-11  4.52e-11  5.10e-11  5.58e-11  6.03e-11  6.22e-11  6.31e-11  6.36e-11  6.34e-11  6.06e-11  5.41e-11  4.90e-11
     74    13     8   3.49e-11  5.52e-11  6.34e-11  6.94e-11  7.11e-11  7.06e-11  7.01e-11  6.98e-11  6.95e-11  6.68e-11  6.12e-11  5.70e-11
     75    13     9   4.11e-11  6.25e-11  7.00e-11  7.51e-11  7.77e-11  7.78e-11  7.74e-11  7.62e-11  7.41e-11  7.09e-11  6.64e-11  6.23e-11
     76    13    10   4.17e-11  6.26e-11  7.07e-11  7.81e-11  8.43e-11  8.59e-11  8.63e-11  8.57e-11  8.38e-11  8.08e-11  7.66e-11  7.31e-11
     77    13    11   4.21e-11  6.40e-11  7.24e-11  7.91e-11  8.35e-11  8.46e-11  8.51e-11  8.56e-11  8.53e-11  8.38e-11  8.28e-11  8.21e-11
     78    13    12   1.22e-11  2.00e-11  2.45e-11  3.08e-11  4.09e-11  4.78e-11  5.32e-11  6.10e-11  7.26e-11  9.65e-11  1.29e-10  1.47e-10
     79    14     1   1.36e-12  2.24e-12  2.68e-12  3.08e-12  3.16e-12  2.95e-12  2.77e-12  2.62e-12  2.76e-12  3.13e-12  2.94e-12  2.58e-12
     80    14     2   6.12e-12  9.13e-12  1.02e-11  1.10e-11  1.13e-11  1.13e-11  1.13e-11  1.14e-11  1.13e-11  1.11e-11  1.02e-11  9.31e-12
     81    14     3   9.80e-12  1.42e-11  1.59e-11  1.74e-11  1.86e-11  1.91e-11  1.97e-11  2.06e-11  2.16e-11  2.15e-11  1.91e-11  1.69e-11
     82    14     4   1.32e-11  2.08e-11  2.40e-11  2.68e-11  2.83e-11  2.84e-11  2.86e-11  2.92e-11  3.02e-11  2.97e-11  2.64e-11  2.36e-11
     83    14     5   1.84e-11  2.71e-11  2.98e-11  3.13e-11  3.20e-11  3.26e-11  3.32e-11  3.44e-11  3.61e-11  3.74e-11  3.51e-11  3.18e-11
     84    14     6   2.23e-11  3.33e-11  3.70e-11  3.96e-11  4.19e-11  4.34e-11  4.48e-11  4.68e-11  4.83e-11  4.75e-11  4.34e-11  3.95e-11
     85    14     7   2.45e-11  3.76e-11  4.27e-11  4.71e-11  5.05e-11  5.19e-11  5.29e-11  5.40e-11  5.43e-11  5.22e-11  4.72e-11  4.29e-11
     86    14     8   2.83e-11  4.33e-11  4.92e-11  5.43e-11  5.84e-11  6.04e-11  6.16e-11  6.26e-11  6.22e-11  5.90e-11  5.42e-11  5.05e-11
     87    14     9   3.22e-11  5.00e-11  5.71e-11  6.29e-11  6.69e-11  6.75e-11  6.73e-11  6.66e-11  6.53e-11  6.30e-11  5.91e-11  5.51e-11
     88    14    10   4.01e-11  6.02e-11  6.71e-11  7.20e-11  7.50e-11  7.58e-11  7.60e-11  7.56e-11  7.37e-11  6.99e-11  6.47e-11  6.07e-11
     89    14    11   4.08e-11  6.31e-11  7.19e-11  7.86e-11  8.16e-11  8.11e-11  8.02e-11  7.85e-11  7.58e-11  7.22e-11  6.93e-11  6.72e-11
     90    14    12   3.97e-11  5.95e-11  6.69e-11  7.36e-11  7.94e-11  8.11e-11  8.14e-11  8.06e-11  7.84e-11  7.62e-11  7.61e-11  7.64e-11
     91    14    13   1.14e-11  1.82e-11  2.21e-11  2.74e-11  3.63e-11  4.27e-11  4.77e-11  5.59e-11  6.95e-11  9.58e-11  1.27e-10  1.44e-10
! COLLISION PARTNER
4   electrons   (Faure et al 2017) 
! NUMBER OF COLLISIONAL TRANSITIONS
76
! NUMBER OF TEMPERATURES
12
! TEMPERATURES
10.0      20.0      30.0      50.0     100.0     150.0     200.0     300.0     500.0    1000.0    2000.0    3000.0
! TRANS | UP  | LOW | RATE COEFFICIENT [cm^3/s]
      1     2     1   3.59e-06  2.54e-06  2.07e-06  1.61e-06  1.14e-06  9.35e-07  8.13e-07  6.74e-07  5.43e-07  4.13e-07  3.16e-07  2.72e-07
