!Molecule
HCl rotation-hyperfine spectrum from JPL, version 3 of May 2012                                                                
!Molecular weight
36.0  
!Number of energy levels
          40
!Level + energy (cm^-1) + weight + quantum numbers J, F
    1     0.000000000   1.3  '0  1.5'
  18    7    3 8.71e-12 1.27e-11 1.56e-11 1.99e-11 2.43e-11 2.65e-11 3.37e-11 3.81e-11 
  19    7    4 3.14e-12 3.27e-12 3.30e-12 3.35e-12 3.50e-12 3.63e-12 4.34e-12 4.89e-12 
  20    7    5 2.62e-11 2.68e-11 2.62e-11 2.43e-11 2.21e-11 2.11e-11 1.86e-11 1.80e-11 
  21    7    6 5.94e-12 6.02e-12 5.76e-12 5.22e-12 4.68e-12 4.47e-12 4.21e-12 4.53e-12 
  22    8    1 2.01e-11 2.12e-11 2.17e-11 2.23e-11 2.28e-11 2.31e-11 2.40e-11 2.53e-11 
  23    8    2 2.59e-12 3.48e-12 3.93e-12 4.49e-12 5.01e-12 5.25e-12 6.04e-12 6.53e-12 
  24    8    3 8.97e-12 9.36e-12 9.44e-12 9.56e-12 9.95e-12 1.03e-11 1.23e-11 1.38e-11 
  25    8    4 4.78e-12 7.91e-12 1.04e-11 1.40e-11 1.77e-11 1.95e-11 2.54e-11 2.89e-11 
  26    8    5 2.37e-11 2.42e-11 2.36e-11 2.19e-11 1.98e-11 1.89e-11 1.62e-11 1.53e-11 
  27    8    6 5.15e-11 5.31e-11 5.21e-11 4.88e-11 4.47e-11 4.27e-11 3.73e-11 3.54e-11 
  28    8    7 4.05e-12 3.97e-12 3.57e-12 2.95e-12 2.53e-12 2.45e-12 3.13e-12 4.53e-12 
  29    9    1 9.31e-12 9.20e-12 9.01e-12 8.76e-12 8.68e-12 8.72e-12 9.24e-12 9.65e-12 
  30    9    2 5.92e-12 6.43e-12 6.77e-12 7.26e-12 7.92e-12 8.38e-12 1.09e-11 1.37e-11 
  31    9    3 4.38e-12 4.68e-12 4.89e-12 5.20e-12 5.63e-12 5.93e-12 7.73e-12 9.75e-12 
  32    9    4 2.56e-13 2.40e-13 2.29e-13 2.17e-13 2.08e-13 2.09e-13 2.70e-13 3.69e-13 
  33    9    5 2.43e-12 2.99e-12 3.67e-12 5.22e-12 7.73e-12 9.40e-12 1.69e-11 2.28e-11 
