NAME,MASS,BINDING ENERGY,DESORPTION PREFACTOR,DIFFUSION BARRIER,DIFFUSION PREFACTOR,SOLID_FRACTION,MONO_FRACTION,VOLCANO_FRACTION,ENTHALPY,Ix,Iy,Iz,SYMMETRY FACTOR
SO2+,64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,213.84560229445503,-999.0,-999.0,-999.0,-1
SO2,64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-70.92495219885276,-999.0,-999.0,-999.0,-1
HS2,65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-999.0,-999.0,-999.0,-1
HS2+,65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-999.0,-999.0,-999.0,-1
HOSO+,65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-999.0,-999.0,-999.0,-1
H2S2+,66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-999.0,-999.0,-999.0,-1
H2S2,66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-999.0,-999.0,-999.0,-1
#H,1,650.0,0.0,0.0,0.0,0.0,0.0,0.0,51.63,-999.0,-999.0,-999.0,-1
#H2,2,440.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-999.0,-999.0,-999.0,-1
#HE,4,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-999.0,-999.0,-999.0,-1
#C,12,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,170.0,-999.0,-999.0,-999.0,-1
#CH,13,925.0,0.0,0.0,0.0,0.35,0.7,0.667,142.0,-999.0,-999.0,-999.0,-1
#CH2,14,1400.0,0.0,0.0,0.0,0.0,0.7,0.667,93.2,-999.0,-999.0,-999.0,-1
#N,14,720.0,0.0,0.0,0.0,0.0,0.0,0.0,112.5,-999.0,-999.0,-999.0,-1
#CH3,15,1600.0,0.0,0.0,0.0,0.0,0.7,0.667,35.6,-999.0,-999.0,-999.0,-1
#NH,15,2600.0,0.0,0.0,0.0,0.0,0.7,0.667,85.7,-999.0,-999.0,-999.0,-1
#CH4,16,960.0,0.0,0.0,0.0,0.0,0.7,0.667,-15.9,-999.0,-999.0,-999.0,-1
#NH2,16,3200.0,0.0,0.0,0.0,0.0,0.0,0.0,46.2,-999.0,-999.0,-999.0,-1
#O,16,1600.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0,-999.0,-999.0,-999.0,-1
#NH3,17,5500.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.3,-999.0,-999.0,-999.0,-1
#OH,17,4600.0,0.0,0.0,0.0,0.0,0.7,0.667,8.8,-999.0,-999.0,-999.0,-1
#H2O,18,5600.0,0.0,0.0,0.0,0.0,0.0,0.0,-57.1,-999.0,-999.0,-999.0,-1
#C2,24,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,196.6,-999.0,-999.0,-999.0,-1
#MG,24,5300.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,-999.0,-999.0,-999.0,-1
#C2H,25,3000.0,0.0,0.0,0.0,0.0,0.0,0.0,134.79,-999.0,-999.0,-999.0,-1
#C2H2,26,2587.0,0.0,0.0,0.0,0.0,0.1,0.5,54.5,-999.0,-999.0,-999.0,-1
#CN,26,2800.0,0.0,0.0,0.0,0.0,0.0,0.0,16.07,-999.0,-999.0,-999.0,-1
#HCN,27,3700.0,0.0,0.0,0.0,0.0,0.1,0.5,31.6,-999.0,-999.0,-999.0,-1
#HNC,27,3800.0,0.0,0.0,0.0,0.0,0.1,0.5,46.4,-999.0,-999.0,-999.0,-1
#C2H3,27,2800.0,0.0,0.0,0.0,0.0,0.0,0.0,62.7,-999.0,-999.0,-999.0,-1
#CO,28,1300.0,0.0,0.0,0.0,0.35,0.7,0.667,-27.2,-999.0,-999.0,-999.0,-1
#N2,28,1100.0,0.0,0.0,0.0,0.35,0.7,0.667,0.0,-999.0,-999.0,-999.0,-1
#H2CN,28,2400.0,0.0,0.0,0.0,0.0,0.0,0.0,55.7,-999.0,-999.0,-999.0,-1
#C2H4,28,2500.0,0.0,0.0,0.0,0.0,0.0,0.5,14.6,-999.0,-999.0,-999.0,-1
#SI,28,11600.0,0.0,0.0,0.0,0.0,0.0,0.0,11.58,-999.0,-999.0,-999.0,-1
#HCO,29,2400.0,0.0,0.0,0.0,0.0,0.1,0.5,10.0,-999.0,-999.0,-999.0,-1
#C2H5,29,3100.0,0.0,0.0,0.0,0.0,0.0,0.0,28.3,-999.0,-999.0,-999.0,-1
#SIH,29,11950.0,0.0,0.0,0.0,0.0,0.0,0.0,90.1,-999.0,-999.0,-999.0,-1
#NO,30,1600.0,0.0,0.0,0.0,0.0,0.7,0.667,21.69,-999.0,-999.0,-999.0,-1
#H2CO,30,4500.0,0.0,0.0,0.0,0.0,0.0,0.0,-25.1,-999.0,-999.0,-999.0,-1
#SIH2,30,12300.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,-999.0,-999.0,-999.0,-1
#H2COH,31,4400.0,0.0,0.0,0.0,0.0,0.1,0.5,4.25,-999.0,-999.0,-999.0,-1
#HNO,31,3000.0,0.0,0.0,0.0,0.0,0.0,0.0,26.3,-999.0,-999.0,-999.0,-1
#CH2OH,31,5084.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-999.0,-999.0,-999.0,-1
#SIH3,31,12650.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,-999.0,-999.0,-999.0,-1
#O2,32,1200.0,0.0,0.0,0.0,0.35,0.7,0.667,0.0,-999.0,-999.0,-999.0,-1
#CH3OH,32,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,-45.4,-999.0,-999.0,-999.0,-1
#SIH4,32,13000.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,-999.0,-999.0,-999.0,-1
#S,32,2600.0,0.0,0.0,0.0,0.0,0.0,0.0,277.0,-999.0,-999.0,-999.0,-1
